School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
eureka secondary school,64410F,Dream Space Academy for Post-Primary,2019-06-05 14:00:00,05/06/2019 17:00,eureka secondary school,2019,Meath,N
scoil mhuire gns,17686I,Dream Space Academy for Primary,2019-06-10 10:00:00,10/06/2019 13:00,scoil mhuire gns,2019,Monaghan,Y
moveen n.s.,13876Q,Dream Space Academy for Primary,2019-06-11 14:00:00,11/06/2019 17:00,moveen n.s.,2019,Clare,Y
scoil assaim bns,14409N,Dream Space Academy for Primary,2019-06-13 14:00:00,13/06/2019 17:00,scoil assaim bns,2019,Limerick,N
de la salle college belfast,60511O,Dream Space Academy for Post-Primary,2019-06-14 14:00:00,14/06/2019 17:00,de la salle college belfast,2019,Dublin,Y
howth primary school - scoil mhuire,18080A,Dream Space Academy for Primary,2019-06-18 14:00:00,18/06/2019 17:00,howth primary school - scoil mhuire,2019,Dublin,N
st cronans bns,19707A,Dream Space Academy for Primary,2019-06-19 10:00:00,19/06/2019 13:00,st cronans bns,2019,Dublin,Y
gaelscoil chaladh an treoigh,20148U,Dream Space Academy for Primary,2019-06-19 14:00:00,19/06/2019 17:00,gaelscoil chaladh an treoigh,2019,Limerick,N
gaelscoil chaladh an treoigh,20148U,Dream Space Academy for Primary,2019-06-20 14:00:00,20/06/2019 17:00,gaelscoil chaladh an treoigh,2019,Limerick,N
caherconlish ns,17487C,Dream Space Academy for Primary,2019-06-21 10:00:00,21/06/2019 13:00,caherconlish ns,2019,Limerick,N
edmund rice college,68264R,Dream Space Academy for Post-Primary,2019-06-21 14:00:00,21/06/2019 17:00,edmund rice college,2019,Cork,N
our ladys boys national schoo,17796P,Dream Space Academy for Primary,2019-06-24 10:00:00,24/06/2019 13:00,our ladys boys national schoo,2019,Carlow,N
belmayne educate together,20308Q,Dream Space Academy for Primary,2019-06-24 14:00:00,24/06/2019 17:00,belmayne educate together,2019,Dublin,Y
stepaside educate together,62841F,Dream Space Academy for Primary,2019-06-25 10:00:00,25/06/2019 13:00,stepaside educate together,2019,,
bunscoil mcauley rice,20255V,Dream Space Academy for Primary,2019-06-26 10:00:00,26/06/2019 13:00,bunscoil mcauley rice,2019,Kilkenny,N
st. pius x bns,19177U,Dream Space Academy for Primary,2019-06-27 10:00:00,27/06/2019 13:00,st. pius x bns,2019,Dublin,N
adamstown cc,76097U,Dream Space Academy for Post-Primary,2019-09-04 09:30:00,04/09/2019 12:30,adamstown cc,2019,Dublin,N
st caimins community school,91447I,Dream Space Academy for Post-Primary,2019-09-05 09:30:00,05/09/2019 12:30,st caimins community school,2019,Clare,N
strathearn school,1420089,Dream Space Academy for Post-Primary,2019-09-06 14:00:00,06/09/2019 17:00,strathearn school,2019,,
